flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20210221N1,ARR 2021,2021-02-21,20:51:42,D20210221_205142.1,1,201651033,JGW,,,Drop 1,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20201002T154654Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.9 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:51:41,179.1 mb,-59.9 C,-61.1 C,86.2 %,324.2 deg,40.9 m/s,-156.999800 deg,30.006400 deg,12922.9 m
20210221N1,ARR 2021,2021-02-21,21:00:17,D20210221_210017.2,2,201520262,JGW,,,Drop 2,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20201002T160203Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:00:17,171.0 mb,-61.1 C,-62.0 C,89.5 %,312.4 deg,39.7 m/s,-156.949500 deg,30.926500 deg,13200.6 m
20210221N1,ARR 2021,2021-02-21,21:08:42,D20210221_210842.3,3,202311600,JGW,,,Drop 3,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20201006T171444Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.7 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:08:41,170.9 mb,-63.4 C,-69.8 C,41.2 %,308.0 deg,39.3 m/s,-156.899400 deg,31.829200 deg,13188.6 m
20210221N1,ARR 2021,2021-02-21,21:16:51,D20210221_211651.4,4,202721629,JGW,,,Drop 4,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200805T170422Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:16:51,171.1 mb,-64.9 C,-72.3 C,35.4 %,302.6 deg,35.2 m/s,-156.832600 deg,32.727200 deg,13178.4 m
20210221N1,ARR 2021,2021-02-21,21:25:00,D20210221_212500.1,5,202721628,JGW,,,Drop 5,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200805T165948Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.6 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:24:59,170.9 mb,-64.6 C,-74.8 C,23.5 %,292.6 deg,33.5 m/s,-156.782900 deg,33.641800 deg,13169.4 m
20210221N1,ARR 2021,2021-02-21,21:32:50,D20210221_213250.2,6,203310486,JGW,,,Drop 6,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20201006T165317Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:32:49,170.9 mb,-66.0 C,-74.7 C,28.6 %,288.9 deg,33.0 m/s,-156.732800 deg,34.543800 deg,13150.1 m
20210221N1,ARR 2021,2021-02-21,21:40:31,D20210221_214031.3,7,192540937,JGW,,,Drop 7,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190826T182025Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:40:31,171.0 mb,-67.7 C,-75.8 C,30.8 %,271.6 deg,27.4 m/s,-156.665800 deg,35.445000 deg,13128.1 m
20210221N1,ARR 2021,2021-02-21,21:47:54,D20210221_214754.4,8,192540716,JGW,,,Drop 8,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190822T175154Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:47:53,171.1 mb,-67.3 C,-76.2 C,27.6 %,261.7 deg,26.6 m/s,-156.616300 deg,36.343300 deg,13100.2 m
20210221N1,ARR 2021,2021-02-21,21:55:16,D20210221_215516.1,9,192940017,JGW,,,Drop 9,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190822T173953Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.9 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:55:16,170.8 mb,-66.6 C,-76.1 C,25.2 %,255.5 deg,27.7 m/s,-156.549000 deg,37.265900 deg,13069.9 m
20210221N1,ARR 2021,2021-02-21,22:02:28,D20210221_220228.2,10,193020221,JGW,,,Drop 10,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190821T194349Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:02:28,171.1 mb,-65.4 C,-75.7 C,22.9 %,248.9 deg,33.5 m/s,-156.482600 deg,38.178200 deg,13020.6 m
