flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20240815H1,Ernesto,2024-08-15,13:50:41,D20240815_135041.1,1,240530778,SCP,,,1,1,N42RF,WP-3D Orion,Good Drop,,3,N1,20240619T144038Z,RSS421 NEO-M8Q-0-10,400.30 MHz,8.4 v,3.07,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),13:50:41,766.7 mb,13.1 C,15.4 C,100.0 %,180.4 deg,32.1 m/s,-67.275300 deg,24.823900 deg,2385.8 m
20240815H1,Ernesto,2024-08-15,13:56:02,D20240815_135602.2,2,233641233,SCP,,,2,2,N42RF,WP-3D Orion,Good Drop,,3,N1,20231026T183827Z,RSS421 NEO-M8Q-0-10,402.30 MHz,8.5 v,3.07,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),13:56:02,763.4 mb,14.3 C,13.1 C,92.3 %,181.7 deg,34.2 m/s,-67.654600 deg,24.830000 deg,2401.1 m
20240815H1,Ernesto,2024-08-15,14:41:14,D20240815_144114.3,3,240650079,SCP,,,3,3,N42RF,WP-3D Orion,Good Drop,,3,N1,20240619T145448Z,RSS421 NEO-M8Q-0-10,400.30 MHz,8.4 v,3.07,32768 sec,-0.2 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),14:41:13,757.9 mb,14.4 C,12.0 C,85.6 %,14.4 deg,27.5 m/s,-70.456100 deg,25.233000 deg,2430.5 m
20240815H1,Ernesto,2024-08-15,14:57:06,D20240815_145706.4,4,240610523,SCP,,,4,4,N42RF,WP-3D Orion,Good Drop,,3,N1,20240618T145427Z,RSS421 NEO-M8Q-0-10,403.24 MHz,8.4 v,3.07,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),14:57:05,765.2 mb,14.2 C,10.6 C,79.2 %,16.3 deg,15.1 m/s,-71.586300 deg,25.523900 deg,2407.4 m
