flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20240911H1,TS Francine,2024-09-11,10:00:28,D20240911_100028.1,1,240650321,none,,,Drop 1,1,N42RF,WP-3D Orion,Good Drop,D1 Ch1 1000Z IP1,3,N1,20240626T151329Z,RSS421 NEO-M8Q-0-10,400.20 MHz,8.7 v,3.07,32768 sec,-0.2 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:00:27,752.3 mb,13.9 C,19.2 C,100.0 %,164.7 deg,33.0 m/s,-91.700500 deg,27.323400 deg,2494.0 m
20240911H1,TS Francine,2024-09-11,10:12:20,D20240911_101220.2,2,241420075,BRD,,,Drop 2,2,N42RF,WP-3D Orion,Good Drop,D2 CH2 MPI1 1012Z BT Combo,3,N1,20240626T180730Z,RSS421 NEO-M8Q-0-10,401.20 MHz,8.6 v,3.07,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:12:19,751.5 mb,15.3 C,19.2 C,100.0 %,174.3 deg,37.0 m/s,-92.610400 deg,27.325600 deg,2453.0 m
20240911H1,TS Francine,2024-09-11,10:18:32,D20240911_101832.3,3,240610539,BRD,,,Drop 3,3,N42RF,WP-3D Orion,Bad Humidity,D3 CH3 1019Z RMWI1 No Hum,3,N1,20240626T195506Z,RSS421 NEO-M8Q-0-10,402.20 MHz,8.6 v,3.07,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:18:31,751.3 mb,15.8 C,19.2 C,100.0 %,174.1 deg,39.8 m/s,-93.073600 deg,27.328800 deg,2368.5 m
20240911H1,TS Francine,2024-09-11,10:19:07,D20240911_101907.4,4,233340982,BRD,,,Drop 4,4,N42RF,WP-3D Orion,Good Drop,D4 CH4 1019Z RMWI 1,3,N1,20231020T141401Z,RSS421 NEO-M8Q-0-10,403.20 MHz,8.5 v,3.07,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:19:06,751.1 mb,16.2 C,19.2 C,100.0 %,173.2 deg,36.5 m/s,-93.118100 deg,27.328500 deg,2358.0 m
20240911H1,TS Francine,2024-09-11,10:23:33,D20240911_102333.5,5,233814455,BRD,,,Drop 5,5,N42RF,WP-3D Orion,Good Drop,D5 CH5 1023Z CP1 BT Combo,3,N1,20231103T164704Z,RSS421 NEO-M8Q-0-10,403.38 MHz,8.4 v,3.07,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:23:33,751.2 mb,21.0 C,19.2 C,89.4 %,286.3 deg,0.9 m/s,-93.425500 deg,27.233800 deg,2308.5 m
20240911H1,TS Francine,2024-09-11,10:32:33,D20240911_103233.6,6,233814512,BRD,,,Drop 6,6,N42RF,WP-3D Orion,Good Drop,D6 CH^ RMWO1 1032Z,3,N1,20231103T153546Z,RSS421 NEO-M8Q-0-10,402.38 MHz,8.5 v,3.07,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:32:33,751.2 mb,14.9 C,19.2 C,100.0 %,357.6 deg,29.6 m/s,-94.094500 deg,27.227100 deg,2431.9 m
20240911H1,TS Francine,2024-09-11,10:36:46,D20240911_103646.7,7,240620823,BRD,,,Drop 7,7,N42RF,WP-3D Orion,Good Drop,D7 CH7 1036Z MPO1,3,N1,20240619T162908Z,RSS421 NEO-M8Q-0-10,401.38 MHz,8.4 v,3.07,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:36:46,752.7 mb,17.0 C,19.2 C,100.0 %,357.7 deg,18.8 m/s,-94.405700 deg,27.227700 deg,2461.8 m
20240911H1,TS Francine,2024-09-11,10:49:12,D20240911_104912.8,8,233640708,BRD,,,Drop 8,8,N42RF,WP-3D Orion,Good Drop,D8 CH8 1049Z EP1,3,N1,20231103T124431Z,RSS421 NEO-M8Q-0-10,400.38 MHz,8.5 v,3.07,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:49:11,752.6 mb,13.3 C,19.2 C,100.0 %,350.2 deg,14.2 m/s,-95.333700 deg,27.251100 deg,2509.0 m
20240911H1,TS Francine,2024-09-11,11:21:12,D20240911_112112.1,9,241030386,BRD,,,Drop 9,1,N42RF,WP-3D Orion,Good Drop,D9 Ch1 1121Z IP2  Skyfora Combo,3,N1,20240626T174425Z,RSS421 NEO-M8Q-0-10,400.22 MHz,8.4 v,3.07,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),11:21:12,751.5 mb,13.6 C,19.2 C,100.0 %,270.3 deg,17.4 m/s,-94.161200 deg,26.048300 deg,2521.7 m
20240911H1,TS Francine,2024-09-11,11:30:43,D20240911_113043.2,10,240520573,BRD,,,Drop 10,2,N42RF,WP-3D Orion,Good Drop,D10 Ch2 MPI2 1130Z BT Combo,3,N1,20240619T164204Z,RSS421 NEO-M8Q-0-10,401.22 MHz,8.5 v,3.07,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),11:30:42,751.2 mb,15.8 C,19.2 C,100.0 %,289.3 deg,32.0 m/s,-93.777100 deg,26.651500 deg,2483.3 m
