flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20240813H1,TS Ernesto,2024-08-13,20:57:42,D20240813_205742.1,1,233641255,NGU,,,Drop #1,1,N42RF,WP-3D Orion,Good Drop,IP1,3,N1,20231026T183205Z,RSS421 NEO-M8Q-0-10,404.30 MHz,8.7 v,3.07,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:57:42,696.2 mb,9.3 C,5.2 C,75.8 %,163.6 deg,29.6 m/s,-62.361600 deg,17.892300 deg,3209.5 m
20240813H1,TS Ernesto,2024-08-13,21:09:01,D20240813_210901.2,2,232020908,NGU,,,Drop #2,2,N42RF,WP-3D Orion,Good Drop,MP  inbound,3,N1,20230918T132059Z,RSS421 NEO-M8Q-0-10,405.30 MHz,8.4 v,3.07,32768 sec,-1.1 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:09:01,695.9 mb,9.3 C,6.3 C,81.9 %,144.0 deg,26.2 m/s,-63.255300 deg,18.007700 deg,3197.4 m
20240813H1,TS Ernesto,2024-08-13,21:21:55,D20240813_212155.3,3,234220481,NGU,,,Drop #3,3,N42RF,WP-3D Orion,Good Drop,Center,3,N1,20240104T181724Z,RSS421 NEO-M8Q-0-10,400.30 MHz,8.4 v,3.07,32768 sec,0.1 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:21:55,695.9 mb,14.9 C,11.4 C,79.8 %,74.3 deg,5.2 m/s,-64.206000 deg,18.164000 deg,3150.3 m
20240813H1,TS Ernesto,2024-08-13,21:34:16,D20240813_213416.4,4,233220201,NGU,,,Drop #4,4,N42RF,WP-3D Orion,Good Drop,MP  outbound,3,N1,20231026T164538Z,RSS421 NEO-M8Q-0-10,401.30 MHz,8.5 v,3.07,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:34:16,695.7 mb,11.9 C,5.8 C,66.4 %,33.2 deg,10.1 m/s,-65.157500 deg,18.166500 deg,3199.7 m
20240813H1,TS Ernesto,2024-08-13,21:47:30,D20240813_214730.5,5,233350129,NGU,,,Drop #5,5,N42RF,WP-3D Orion,Good Drop,EP1,3,N1,20231023T205507Z,RSS421 NEO-M8Q-0-10,402.30 MHz,8.5 v,3.07,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:47:29,695.9 mb,11.3 C,6.2 C,70.8 %,8.3 deg,7.9 m/s,-65.847400 deg,17.764300 deg,3209.4 m
20240813H1,TS Ernesto,2024-08-13,22:11:42,D20240813_221142.6,6,233824635,RK,,,Drop #6,6,N42RF,WP-3D Orion,Good Drop,IP2,3,N1,20231026T174035Z,RSS421 NEO-M8Q-0-10,404.30 MHz,8.6 v,3.07,32768 sec,-0.6 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:11:42,696.7 mb,10.2 C,8.8 C,90.8 %,231.3 deg,3.5 m/s,-64.577500 deg,16.838100 deg,3197.6 m
20240813H1,TS Ernesto,2024-08-13,22:20:56,D20240813_222056.7,7,240620515,RK,,,Drop #7,7,N42RF,WP-3D Orion,Good Drop,midpoint,3,N1,20240619T145132Z,RSS421 NEO-M8Q-0-10,403.30 MHz,8.4 v,3.07,32768 sec,-0.6 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:20:55,696.1 mb,11.2 C,8.5 C,83.6 %,262.8 deg,7.0 m/s,-64.572300 deg,17.483700 deg,3196.0 m
20240813H1,TS Ernesto,2024-08-13,22:45:50,D20240813_224550.8,8,232050558,RK,,,Drop #8,8,N42RF,WP-3D Orion,Good Drop,midpoint,3,N1,20230918T132436Z,RSS421 NEO-M8Q-0-10,401.30 MHz,8.2 v,3.07,32768 sec,-1.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:45:49,696.2 mb,12.3 C,5.3 C,62.2 %,99.9 deg,18.8 m/s,-64.567000 deg,19.201700 deg,3206.4 m
20240813H1,TS Ernesto,2024-08-13,22:53:28,D20240813_225328.1,9,235124005,RK,,,Drop #9,1,N42RF,WP-3D Orion,Good Drop,EP2,3,N1,20240618T154413Z,RSS421 NEO-M8Q-0-10,402.30 MHz,8.3 v,3.07,32768 sec,-1.1 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:53:28,696.2 mb,11.4 C,7.8 C,78.5 %,99.7 deg,18.4 m/s,-64.566900 deg,19.751500 deg,3214.4 m
20240813H1,TS Ernesto,2024-08-13,23:12:41,D20240813_231241.2,10,233824634,RK,,,Drop #10,2,N42RF,WP-3D Orion,Good Drop,IP3,3,N1,20231026T175735Z,RSS421 NEO-M8Q-0-10,400.30 MHz,8.3 v,3.07,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),23:12:41,696.2 mb,11.2 C,8.6 C,83.7 %,69.3 deg,11.6 m/s,-65.773100 deg,19.461800 deg,3215.7 m
20240813H1,TS Ernesto,2024-08-13,23:23:13,D20240813_232313.3,11,235051112,NGU,,,Drop #11,3,N42RF,WP-3D Orion,Good Drop,MP  inbound,3,N1,20240619T150452Z,RSS421 NEO-M8Q-0-10,404.30 MHz,8.4 v,3.07,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),23:23:13,696.1 mb,12.2 C,5.7 C,64.4 %,64.5 deg,16.2 m/s,-65.244700 deg,18.967200 deg,3201.6 m
20240813H1,TS Ernesto,2024-08-13,23:53:01,D20240813_235301.4,12,234220159,NGU,,,Drop #12,4,N42RF,WP-3D Orion,Good Drop,MP  outbound,3,N1,20240105T212908Z,RSS421 NEO-M8Q-0-10,405.30 MHz,8.4 v,3.07,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),23:53:01,696.2 mb,9.2 C,10.2 C,100.0 %,175.4 deg,9.9 m/s,-64.157800 deg,17.389700 deg,3197.4 m
20240813H1,TS Ernesto,2024-08-14,00:04:42,D20240814_000442.5,13,232051004,NGU,,,Drop #13,5,N42RF,WP-3D Orion,Good Drop,EP3,3,N1,20230918T173241Z,RSS421 NEO-M8Q-0-10,400.30 MHz,8.2 v,3.07,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),00:04:42,695.6 mb,9.9 C,7.5 C,85.2 %,177.4 deg,15.3 m/s,-63.420100 deg,17.146300 deg,3228.2 m
20240813H1,TS Ernesto,2024-08-14,00:36:27,D20240814_003627.6,14,234220169,RK,,,Drop #14,6,N42RF,WP-3D Orion,Good Drop,IP4,3,N1,20240108T143844Z,RSS421 NEO-M8Q-0-10,403.30 MHz,8.3 v,3.07,32768 sec,-1.1 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),00:36:26,695.6 mb,9.6 C,6.7 C,82.3 %,140.1 deg,22.3 m/s,-63.753000 deg,19.309100 deg,3226.5 m
20240813H1,TS Ernesto,2024-08-14,00:42:46,D20240814_004246.7,15,232210062,RK,,,Drop #15,7,N42RF,WP-3D Orion,Good Drop,MP,3,N1,20230824T165643Z,RSS421 NEO-M8Q-0-10,404.30 MHz,8.5 v,3.07,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),00:42:45,696.6 mb,10.1 C,7.4 C,83.4 %,133.6 deg,21.1 m/s,-64.075000 deg,19.000000 deg,3205.1 m
20240813H1,TS Ernesto,2024-08-14,01:08:24,D20240814_010824.8,16,233460215,RK,,,Drop #16,8,N42RF,WP-3D Orion,Good Drop,MP,3,N1,20231024T132344Z,RSS421 NEO-M8Q-0-10,405.30 MHz,8.4 v,3.07,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),01:08:24,696.1 mb,12.7 C,7.2 C,69.5 %,343.7 deg,7.7 m/s,-65.579700 deg,17.952900 deg,3200.0 m
20240813H1,TS Ernesto,2024-08-14,01:20:04,D20240814_012004.1,17,232050999,RK,,,Drop #17,1,N42RF,WP-3D Orion,Good Drop,EP4,3,N1,20230918T155157Z,RSS421 NEO-M8Q-0-10,401.30 MHz,8.6 v,3.07,32768 sec,-1.6 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),01:20:03,696.2 mb,11.6 C,8.6 C,82.1 %,308.1 deg,11.8 m/s,-65.918800 deg,17.237700 deg,3207.7 m
