flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20190929N1,Hurricane Lorenzo,9/29/2019,10:57:34,D20190929_105734.4,1_dup,191720794_4_dup,jed,HRD,,test,4,N49RF,Gulfstream G-IV SP,,,3,A2,20190607T180552Z,RSS421 NEO-M8Q-0,400.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,Manual Entry,10:57:29,9999.0 mb,99.0 C,99.0 C,-999.00%,999.0 deg,999.0 m/s,0.000000 deg,0.000000 deg,99999.0 m
20190929N1,Hurricane Lorenzo,9/29/2019,12:29:25,D20190929_122925.1,1,191720794,jed,HRD,,drop1,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190607T180552Z,RSS421 NEO-M8Q-0,400.70 MHz,5.9 v,2.09,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),12:29:25,177.3 mb,-59.5 C,-61.4 C,78.80%,173.3 deg,11.2 m/s,-53.985900 deg,15.008500 deg,13162.8 m
20190929N1,Lorenzo,9/29/2019,12:29:25,D20190929_122925.5,1_dup,191720794_5_dup,AJP,HRD,,Drop 1,5,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190607T180552Z,RSS421 NEO-M8Q-0,400.70 MHz,5.6 v,2.09,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),12:29:25,177.3 mb,-59.5 C,-61.4 C,78.80%,173.3 deg,11.2 m/s,-53.985900 deg,15.008500 deg,13162.8 m
20190929N1,Hurricane Lorenzo,9/29/2019,12:56:01,D20190929_125601.2,2,191720859,jed,HRD,B,drop2,2,N49RF,Gulfstream G-IV SP,Bad Temperature,no temp  no hum,3,A2,20190613T151414Z,RSS421 NEO-M8Q-0,401.70 MHz,6.1 v,2.09,32768 sec,-0.3 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),12:56:01,177.3 mb,-58.9 C,-67.2 C,33.10%,152.7 deg,7.0 m/s,-50.946300 deg,16.559900 deg,13177.2 m
20190929N1,Lorenzo,9/29/2019,12:56:01,D20190929_125601.6,2_dup,191720859_6_dup,AJP,HRD,B,Drop 2,6,N49RF,Gulfstream G-IV SP,Bad Temperature  Bad Humidity,,3,A2,20190613T151414Z,RSS421 NEO-M8Q-0,401.70 MHz,6.0 v,2.09,32768 sec,-0.3 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),12:56:01,177.3 mb,-58.9 C,-67.2 C,33.10%,152.7 deg,7.0 m/s,-50.946300 deg,16.559900 deg,13177.2 m
20190929N1,Hurricane Lorenzo,9/29/2019,12:56:46,D20190929_125646.3,3,192220346,jed,HRD,,drop3,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190614T142644Z,RSS421 NEO-M8Q-0,402.70 MHz,6.1 v,2.09,32768 sec,-0.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),12:56:45,177.3 mb,-58.9 C,-67.2 C,33.30%,155.8 deg,6.3 m/s,-50.862500 deg,16.601800 deg,13176.2 m
20190929N1,Lorenzo,9/29/2019,12:56:46,D20190929_125646.7,3_dup,192220346_7_dup,AJP,HRD,,Drop 3,7,N49RF,Gulfstream G-IV SP,Good Drop,back up  for 2,3,A2,20190614T142644Z,RSS421 NEO-M8Q-0,402.70 MHz,6.0 v,2.09,32768 sec,-0.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),12:56:45,177.3 mb,-58.9 C,-67.2 C,33.30%,155.8 deg,6.3 m/s,-50.862500 deg,16.601800 deg,13176.2 m
20190929N1,Hurricane Lorenzo,9/29/2019,13:21:58,D20190929_132158.4,4,192620620,jed,SAT,,drop4,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190719T152321Z,RSS421 NEO-M8Q-0,403.70 MHz,6.1 v,2.09,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),13:21:57,169.2 mb,-61.1 C,-68.6 C,36.30%,348.2 deg,2.6 m/s,-48.007900 deg,18.049800 deg,13480.3 m
20190929N1,Lorenzo,9/29/2019,13:21:58,D20190929_132158.8,4_dup,192620620_8_dup,AJP,SAT,,Drop 4,8,N49RF,Gulfstream G-IV SP,,,3,A2,20190719T152321Z,RSS421 NEO-M8Q-0,403.70 MHz,5.9 v,2.09,32768 sec,-0.7 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),13:21:57,169.2 mb,-61.1 C,-68.6 C,36.30%,348.2 deg,2.6 m/s,-48.007900 deg,18.049800 deg,13480.3 m
20190929N1,Hurricane Lorenzo,9/29/2019,13:32:38,D20190929_133238.1,5,192220339,jed,SAT,,drop5,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190613T173815Z,RSS421 NEO-M8Q-0,404.70 MHz,6.2 v,2.09,32768 sec,-0.2 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),13:32:37,169.2 mb,-60.5 C,-68.4 C,34.60%,288.5 deg,5.1 m/s,-47.612600 deg,19.297000 deg,13475.5 m
