flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20210828H1,Hurricane Ida,2021-08-28,20:44:44,D20210828_204444.1,1,204840485,MAC,,,DROP 1,1,N42RF,WP-3D Orion,Good Drop,DROP 1  CH 1  IP 1 NE 2044Z  COMBO,3,A2,20210113T191925Z,RSS421 NEO-M8Q-0-10,400.20 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:44:43,695.2 mb,12.2 C,2.4 C,51.1 %,120.3 deg,26.2 m/s,-85.775600 deg,27.523600 deg,3216.0 m
20210828H1,Hurricane Ida,2021-08-28,20:57:02,D20210828_205702.2,2,204260901,MAC,,,DROP 2,2,N42RF,WP-3D Orion,Good Drop,DROP 2  CH 2  2057Z  1ST MID IN NE  COMBO,3,00,20210118T164913Z,RSS421 NEO-M8Q-0-10,400.40 MHz,5.7 v,2.10,32768 sec,-0.7 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:57:02,696.1 mb,10.4 C,5.9 C,73.9 %,136.4 deg,33.6 m/s,-86.320400 deg,26.847000 deg,3155.4 m
20210828H1,Hurricane Ida,2021-08-28,21:04:48,D20210828_210448.3,3,204330607,MAC,,,DROP 3,3,N42RF,WP-3D Orion,Good Drop,1ST IN RMW.1  CH 3  2104Z,3,A2,20210118T161426Z,RSS421 NEO-M8Q-0-10,401.22 MHz,5.8 v,2.10,32768 sec,-0.9 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:04:48,695.0 mb,10.7 C,8.1 C,84.2 %,140.4 deg,44.7 m/s,-86.641100 deg,26.449100 deg,3092.0 m
20210828H1,Hurricane Ida,2021-08-28,21:06:21,D20210828_210621.4,4,203250885,MAC,,,DROP 4,4,N42RF,WP-3D Orion,Good Drop,DROP 4  CH 4  1ST IN RMW.2  2106Z  COMBO,3,A2,20210128T155228Z,RSS421 NEO-M8Q-0-10,401.36 MHz,5.7 v,2.10,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:06:21,694.5 mb,11.5 C,8.8 C,83.8 %,147.5 deg,42.4 m/s,-86.700600 deg,26.374900 deg,3065.3 m
20210828H1,Hurricane Ida,2021-08-28,21:08:24,D20210828_210824.5,5,204260653,MAC,,,DROP 5,5,N42RF,WP-3D Orion,Good Drop,DROP 5  CH 5  2108Z  1ST IN RMW.3,3,A2,20210107T201832Z,RSS421 NEO-M8Q-0-10,402.36 MHz,5.9 v,2.10,32768 sec,-0.6 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:08:23,695.7 mb,11.4 C,8.4 C,81.6 %,153.2 deg,38.2 m/s,-86.777400 deg,26.279000 deg,3018.1 m
20210828H1,Hurricane Ida,2021-08-28,21:13:27,D20210828_211327.6,6,205050314,MAC,,,DROP 6,6,N42RF,WP-3D Orion,Good Drop,DROP 6  CH 6  2113Z  1ST CTR,3,A2,20210113T194247Z,RSS421 NEO-M8Q-0-10,403.36 MHz,6.0 v,2.10,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:13:26,695.6 mb,15.1 C,10.3 C,73.4 %,126.0 deg,0.7 m/s,-87.080900 deg,26.127600 deg,2919.3 m
20210828H1,Hurricane Ida,2021-08-28,21:17:39,D20210828_211739.7,7,204540667,MAC,,,DROP 7,7,N42RF,WP-3D Orion,Good Drop,DROP 7  CH 7  1ST OUT RMW.1  2117Z  SW,3,A2,20210108T162302Z,RSS421 NEO-M8Q-0-10,404.36 MHz,5.8 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:17:39,695.6 mb,13.4 C,10.3 C,81.4 %,297.1 deg,32.5 m/s,-87.282400 deg,25.907000 deg,3034.3 m
20210828H1,Hurricane Ida,2021-08-28,21:18:40,D20210828_211840.8,8,205050307,MAC,,,DROP 8,8,N42RF,WP-3D Orion,Good Drop,DROP 8  CH 8  2118Z  1ST OUT RMW.2 COMBO  SW,3,A2,20210113T194641Z,RSS421 NEO-M8Q-0-10,405.36 MHz,5.7 v,2.10,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:18:40,694.4 mb,12.1 C,9.2 C,82.3 %,296.4 deg,27.4 m/s,-87.325500 deg,25.852500 deg,3073.2 m
20210828H1,Hurricane Ida,2021-08-28,21:19:40,D20210828_211940.1,9,204031023,MAC,,,DROP 9,1,N42RF,WP-3D Orion,Good Drop,DROP 9  CH 1  2119Z  1ST OUT RMW.3  SE,3,A2,20210107T203501Z,RSS421 NEO-M8Q-0-10,400.24 MHz,5.8 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:19:40,697.2 mb,11.1 C,8.7 C,85.1 %,294.0 deg,28.2 m/s,-87.367000 deg,25.799800 deg,3062.8 m
20210828H1,Hurricane Ida,2021-08-28,21:27:09,D20210828_212709.2,10,204270001,MAC,,,DROP 10,2,N42RF,WP-3D Orion,Good Drop,DROP 10  CH 2  2127Z  1ST MID OUT SW  COMBO,3,A2,20210107T204035Z,RSS421 NEO-M8Q-0-10,400.38 MHz,5.7 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:27:08,695.3 mb,10.2 C,6.0 C,74.8 %,293.0 deg,20.5 m/s,-87.689900 deg,25.391300 deg,3156.8 m
