flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20220927N2,Ian,9/27/2022,17:54:43,D20220927_175443.1,1,210930257,JL,NWS,,1,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20211221T170419Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.8 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),17:54:43,251.3 mb,-39.9 C,-19.0 C,-999.00%,209.1 deg,17.6 m/s,-79.077900 deg,27.383800 deg,10915.2 m
20220927N2,Ian,9/27/2022,18:10:56,D20220927_181056.2,2,204950793,JL,NWS,,2,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T173319Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.7 v,2.1,32768 sec,-1.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:10:56,177.5 mb,-61.7 C,-43.4 C,-999.00%,234.2 deg,15.5 m/s,-79.022800 deg,25.519500 deg,13191.4 m
20220927N2,Ian,9/27/2022,18:22:59,D20220927_182259.3,3,210240299,JL,NWS,,3,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20220111T150710Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.7 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:22:59,177.3 mb,-61.3 C,-48.8 C,-999.00%,219.0 deg,13.0 m/s,-80.023900 deg,24.486300 deg,13197.4 m
20220927N2,Ian,9/27/2022,18:35:28,D20220927_183528.4,4,210430096,JL,NWS,B,4,4,N49RF,Gulfstream G-IV SP,Fast Fall,,3,A2,20220111T135816Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:35:28,177.1 mb,-58.8 C,-49.4 C,-999.00%,231.7 deg,14.7 m/s,-81.175900 deg,23.476200 deg,13199.7 m
20220927N2,Ian,9/27/2022,18:36:24,D20220927_183624.1,5,211330047,JL,NWS,,5,1,N49RF,Gulfstream G-IV SP,Good Drop,Backup for 4,3,A2,20210908T124117Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.8 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:36:24,177.3 mb,-58.8 C,-49.5 C,-999.00%,220.7 deg,12.8 m/s,-81.259000 deg,23.398800 deg,13195.5 m
20220927N2,Ian,9/27/2022,18:50:04,D20220927_185004.2,6,204941548,JL,NWS,,6,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T174648Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.7 v,2.1,32768 sec,-1.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:50:03,177.4 mb,-60.1 C,-51.1 C,-999.00%,250.0 deg,17.1 m/s,-82.176700 deg,22.086300 deg,13181.0 m
20220927N2,Ian,9/27/2022,19:01:55,D20220927_190155.3,7,211120791,JL,NWS,,7,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210908T153743Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.8 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:01:55,169.2 mb,-64.0 C,-54.0 C,-999.00%,264.8 deg,12.2 m/s,-83.536300 deg,21.584000 deg,13478.4 m
20220927N2,Ian,9/27/2022,19:10:56,D20220927_191056.4,8,211120787,JL,NWS,,8,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210908T165106Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.6 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:10:55,169.2 mb,-63.9 C,-55.1 C,-999.00%,281.7 deg,7.9 m/s,-84.678900 deg,21.597600 deg,13476.9 m
20220927N2,Ian,9/27/2022,19:20:58,D20220927_192058.1,9,210240930,JL,NWS,,9,1,N49RF,Gulfstream G-IV SP,Good Drop,Humidity looks a little noisy,3,A2,20220111T162746Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.7 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:20:57,168.9 mb,-63.9 C,-56.2 C,-999.00%,245.9 deg,4.0 m/s,-85.832900 deg,22.135000 deg,13476.5 m
20220927N2,Ian,9/27/2022,19:33:18,D20220927_193318.2,10,210310078,JL,NWS,,10,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20220111T143127Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:33:18,169.0 mb,-999.0 C,-56.5 C,-999.00%,-999.0 deg,-999.0 m/s,-86.970200 deg,23.220300 deg,13472.6 m
