flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20221109N1,Nicole,11/9/2022,6:05:17,D20221109_060517.1,1,204830086,JEH,NWS,,Drop 1,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T141920Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.8 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),6:05:17,258.4 mb,-46.9 C,-33.5 C,-999.00%,89.4 deg,10.9 m/s,-83.999400 deg,28.762000 deg,10579.5 m
20221109N1,Nicole,11/9/2022,6:15:52,D20221109_061552.2,2,204950791,JEH,NWS,,Drop 2,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T185406Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.8 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),6:15:52,177.3 mb,-54.6 C,-50.8 C,-999.00%,254.8 deg,11.8 m/s,-85.059300 deg,27.918300 deg,13054.9 m
20221109N1,Nicole,11/9/2022,6:26:48,D20221109_062648.3,3,204830074,JEH,NWS,,Drop 3,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T141441Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),6:26:47,177.3 mb,-55.1 C,-53.5 C,100.00%,272.9 deg,9.9 m/s,-86.516700 deg,27.950600 deg,13058.1 m
20221109N1,Nicole,11/9/2022,6:37:31,D20221109_063731.4,4,210540649,JEH,NWS,,Drop 4,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T183657Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.5 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),6:37:29,177.2 mb,-57.1 C,-55.5 C,100.00%,269.4 deg,10.8 m/s,-87.548200 deg,28.825700 deg,13051.8 m
20221109N1,Nicole,11/9/2022,6:47:58,D20221109_064758.1,5,211040818,JEH,NWS,,Drop 5,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20211108T164855Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.7 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),6:47:58,177.3 mb,-56.9 C,-55.7 C,100.00%,232.4 deg,9.0 m/s,-88.808000 deg,28.357600 deg,13050.5 m
20221109N1,Nicole,11/9/2022,6:58:00,D20221109_065800.2,6,210511060,JEH,NWS,,Drop 6,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T170030Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.6 v,2.1,32768 sec,-1.2 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),6:57:59,177.2 mb,-56.0 C,-55.7 C,100.00%,238.1 deg,9.5 m/s,-87.981400 deg,27.390800 deg,13056.4 m
20221109N1,Nicole,11/9/2022,7:14:20,D20221109_071420.3,7,204820280,JEH,NWS,,Drop 7,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T132034Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.7 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),7:14:19,177.2 mb,-54.9 C,-55.4 C,94.30%,231.5 deg,3.2 m/s,-85.964400 deg,26.412300 deg,13061.6 m
20221109N1,Nicole,11/9/2022,7:25:21,D20221109_072521.4,8,210540377,JEH,NWS,,Drop 8,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T174757Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.7 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),7:25:20,177.1 mb,-55.4 C,-55.6 C,98.00%,253.6 deg,8.3 m/s,-84.399400 deg,26.411800 deg,13061.7 m
20221109N1,Nicole,11/9/2022,8:00:00,D20221109_080000.1,9,204830075,JEH,NWS,,Drop 9,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T145043Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.7 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),7:59:59,168.6 mb,-57.1 C,-56.8 C,100.00%,3.0 deg,8.0 m/s,-79.473200 deg,26.899700 deg,13352.4 m
20221109N1,Nicole,11/9/2022,8:11:06,D20221109_081106.2,10,210730152,JEH,NWS,,Drop 10,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T184314Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.6 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),8:11:06,169.0 mb,-58.4 C,-57.7 C,100.00%,305.8 deg,7.7 m/s,-77.968100 deg,27.051100 deg,13341.5 m
20221109N1,Nicole,11/9/2022,8:19:11,D20221109_081911.3,11,210520146,JEH,NWS,,Drop 11,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T185003Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.7 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),8:19:10,168.8 mb,-58.3 C,-57.8 C,100.00%,303.6 deg,6.2 m/s,-77.522600 deg,27.958500 deg,13338.1 m
20221109N1,Nicole,11/9/2022,8:27:24,D20221109_082724.4,12,210511058,JEH,NWS,,Drop 12,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T190043Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.6 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),8:27:23,169.0 mb,-59.8 C,-58.2 C,100.00%,16.7 deg,1.9 m/s,-76.481500 deg,28.357300 deg,13326.2 m
20221109N1,Nicole,11/9/2022,8:35:39,D20221109_083539.1,13,210550960,JEH,NWS,,Drop 13,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T175521Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),8:35:38,169.1 mb,-60.8 C,-58.8 C,100.00%,272.0 deg,1.2 m/s,-75.446900 deg,27.928300 deg,13322.1 m
20221109N1,Nicole,11/9/2022,8:44:40,D20221109_084440.2,14,204941177,JEH,NWS,,Drop 14,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T171710Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.8 v,2.1,32768 sec,-1.2 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),8:44:40,161.1 mb,-61.8 C,-58.9 C,100.00%,261.8 deg,10.4 m/s,-75.029100 deg,26.880100 deg,13636.6 m
20221109N1,Nicole,11/9/2022,8:53:14,D20221109_085314.3,15,204830090,JEH,NWS,,Drop 15,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T143242Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.7 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),8:53:13,161.0 mb,-59.9 C,-58.6 C,100.00%,241.2 deg,9.1 m/s,-75.268900 deg,25.893900 deg,13652.6 m
20221109N1,Nicole,11/9/2022,9:03:14,D20221109_090314.4,16,210650499,JEH,NWS,,Drop 16,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20220111T180617Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.7 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),9:03:13,161.2 mb,-63.2 C,-59.6 C,-999.00%,258.0 deg,14.5 m/s,-73.981400 deg,25.506100 deg,13642.5 m
20221109N1,Nicole,11/9/2022,9:13:16,D20221109_091316.1,17,204850498,JEH,NWS,,Drop 17,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T193108Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.7 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),9:13:15,161.1 mb,-62.1 C,-60.2 C,100.00%,279.0 deg,20.4 m/s,-74.659800 deg,24.542900 deg,13660.2 m
20221109N1,Nicole,11/9/2022,9:24:00,D20221109_092400.2,18,210511031,JEH,NWS,,Drop 18,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T173202Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.7 v,2.1,32768 sec,-1.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),9:24:00,161.1 mb,-61.9 C,-59.5 C,100.00%,283.0 deg,20.2 m/s,-75.846900 deg,23.982300 deg,13663.1 m
20221109N1,Nicole,11/9/2022,9:48:50,D20221109_094850.3,19,204830076,JEH,NWS,,Drop 19,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T130104Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.6 v,2.1,32768 sec,-1.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),9:48:50,161.2 mb,-62.0 C,-59.5 C,100.00%,281.9 deg,15.0 m/s,-78.785500 deg,23.330800 deg,13668.9 m
20221109N1,Nicole,11/9/2022,10:00:53,D20221109_100053.4,20,204830053,JEH,NWS,,Drop 20,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T191654Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.8 v,2.1,32768 sec,-1.2 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),10:00:52,160.9 mb,-63.8 C,-60.1 C,-999.00%,284.0 deg,12.3 m/s,-77.586500 deg,22.298500 deg,13682.2 m
20221109N1,Nicole,11/9/2022,10:12:58,D20221109_101258.1,21,210511027,JEH,NWS,,Drop 21,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210421T174323Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.7 v,2.1,32768 sec,-1.3 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),10:12:57,153.5 mb,-66.3 C,-61.8 C,-999.00%,297.3 deg,14.7 m/s,-75.970000 deg,21.901100 deg,13980.6 m
20221109N1,Nicole,11/9/2022,10:24:13,D20221109_102413.2,22,204941146,JEH,NWS,,Drop 22,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20210413T190256Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.8 v,2.1,32768 sec,-1.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),10:24:12,153.5 mb,-65.3 C,-61.2 C,-999.00%,306.9 deg,13.9 m/s,-74.405600 deg,21.947900 deg,13977.8 m
20221109N1,Nicole,11/9/2022,10:36:11,D20221109_103611.3,23,210710263,JEH,NWS,,Drop 23,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20211220T200540Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.6 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),10:36:11,153.4 mb,-65.9 C,-61.4 C,-999.00%,300.3 deg,14.8 m/s,-72.985600 deg,22.657100 deg,13976.4 m
