flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20240126N1,AAR FY 24,1/26/2024,20:36:52,D20240126_203652.1,1,232050976,mam,AR,,Drop 1,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230919T172355Z,RSS421 NEO-M8Q-0-10,400.70 MHz,8.4 v,3.07,32768 sec,-1.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),20:36:52,177.3 mb,-58.6 C,-69.7 C,22.70%,276.9 deg,42.4 m/s,-165.009900 deg,23.803500 deg,13201.7 m
20240126N1,AAR FY 24,1/26/2024,20:48:35,D20240126_204835.2,2,232050819,mam,AR,,Drop 2,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230918T191549Z,RSS421 NEO-M8Q-0-10,401.70 MHz,8.5 v,3.07,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),20:48:34,177.3 mb,-59.8 C,-69.8 C,25.90%,273.8 deg,43.9 m/s,-166.242400 deg,24.186000 deg,13194.8 m
20240126N1,AAR FY 24,1/26/2024,21:00:24,D20240126_210024.3,3,232051039,mam,AR,,Drop 3,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230919T163902Z,RSS421 NEO-M8Q-0-10,402.70 MHz,8.7 v,3.07,32768 sec,-1.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:00:24,177.2 mb,-58.4 C,-69.8 C,21.70%,274.5 deg,47.5 m/s,-167.479900 deg,24.537000 deg,13188.0 m
20240126N1,AAR FY 24,1/26/2024,21:12:31,D20240126_211231.4,4,232050827,mam,AR,,Drop 4,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230919T171954Z,RSS421 NEO-M8Q-0-10,403.70 MHz,8.6 v,3.07,32768 sec,-0.9 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:12:31,177.2 mb,-57.9 C,-69.6 C,21.20%,273.2 deg,49.1 m/s,-168.726400 deg,24.902800 deg,13177.3 m
20240126N1,AAR FY 24,1/26/2024,21:24:38,D20240126_212438.1,5,232030896,mam,AR,,Drop 5,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230918T153202Z,RSS421 NEO-M8Q-0-10,404.70 MHz,8.6 v,3.07,32768 sec,-0.8 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:24:38,177.1 mb,-57.7 C,-69.3 C,21.40%,271.9 deg,50.5 m/s,-169.976700 deg,25.236000 deg,13171.8 m
20240126N1,AAR FY 24,1/26/2024,21:37:09,D20240126_213709.2,6,233560363,mam,AR,,Drop 6,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230918T185527Z,RSS421 NEO-M8Q-0-10,405.70 MHz,8.6 v,3.07,32768 sec,-0.9 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:37:08,177.2 mb,-57.9 C,-69.1 C,22.50%,273.7 deg,53.9 m/s,-171.247700 deg,25.587100 deg,13159.2 m
20240126N1,AAR FY 24,1/26/2024,21:49:16,D20240126_214916.3,7,230931083,mam,AR,,Drop 7,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230919T174423Z,RSS421 NEO-M8Q-0-10,400.70 MHz,8.5 v,3.07,32768 sec,-1.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:49:16,177.2 mb,-58.1 C,-69.2 C,22.90%,266.6 deg,56.9 m/s,-172.453800 deg,25.951000 deg,13146.0 m
20240126N1,AAR FY 24,1/26/2024,22:00:27,D20240126_220027.4,8,232240098,mam,AR,,Drop 8,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230919T161124Z,RSS421 NEO-M8Q-0-10,401.70 MHz,8.7 v,3.07,32768 sec,-0.9 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:00:26,177.0 mb,-58.1 C,-68.5 C,25.30%,268.0 deg,64.0 m/s,-172.769000 deg,27.194300 deg,13103.7 m
20240126N1,AAR FY 24,1/26/2024,22:11:52,D20240126_221152.1,9,232050813,mam,AR,,Drop 9,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230918T151804Z,RSS421 NEO-M8Q-0-10,402.70 MHz,8.4 v,3.07,32768 sec,-0.9 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:11:52,177.2 mb,-56.8 C,-67.8 C,23.60%,265.8 deg,72.8 m/s,-173.038500 deg,28.474100 deg,13032.2 m
20240126N1,AAR FY 24,1/26/2024,22:23:25,D20240126_222325.2,10,232020664,mam,AR,,Drop 10,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,N1,20230919T175355Z,RSS421 NEO-M8Q-0-10,403.70 MHz,8.5 v,3.07,32768 sec,-1.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:23:24,177.1 mb,-55.9 C,-66.9 C,23.80%,267.8 deg,81.3 m/s,-173.318800 deg,29.743000 deg,12958.0 m
