flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,ptu,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20190919N1,TS Jerry,2019-09-19,18:38:54,D20190919_183854.2,6,185120831,NGU,,,Drop #6,2,N49RF,Gulfstream G-IV SP,Good Drop,Point #5,3,A2,20190429T174046Z,RSS421 NEO-M8Q-0,401.70 MHz,6.0 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:38:53,177.3 mb,-58.6 C,-66.3 C,36.5 %,312.2 deg,2.9 m/s,-53.510000 deg,17.317800 deg,13184.3 m
20190919N1,Jerry,2019-09-19,18:38:54,D20190919_183854.6,6_dup,185120831_6_dup,NGU,,,Drop #6,6,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190429T174046Z,RSS421 NEO-M8Q-0,401.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:38:53,177.3 mb,-58.6 C,-66.3 C,36.5 %,312.2 deg,2.9 m/s,-53.510000 deg,17.317800 deg,13184.3 m
20190919N1,TS Jerry,2019-09-19,18:49:37,D20190919_184937.3,7,185130795,NGU,,,Drop #7,3,N49RF,Gulfstream G-IV SP,Good Drop,Point #6,3,A2,20190514T181006Z,RSS421 NEO-M8Q-0,402.70 MHz,6.0 v,2.09,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:49:36,177.3 mb,-58.4 C,-66.5 C,34.3 %,283.5 deg,1.1 m/s,-53.812000 deg,18.615800 deg,13183.8 m
20190919N1,Jerry,2019-09-19,18:49:37,D20190919_184937.7,7_dup,185130795_7_dup,CFL,,,Drop #7,7,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190514T181006Z,RSS421 NEO-M8Q-0,402.70 MHz,5.8 v,2.09,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:49:36,177.3 mb,-58.4 C,-66.5 C,34.3 %,283.5 deg,1.1 m/s,-53.812000 deg,18.615800 deg,13183.8 m
20190919N1,TS Jerry,2019-09-19,18:59:04,D20190919_185904.4,8,190930049,NGU,,,Drop #8,4,N49RF,Gulfstream G-IV SP,Good Drop,Point #7,3,A2,20190430T155321Z,RSS421 NEO-M8Q-0,403.70 MHz,5.9 v,2.09,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:59:03,177.3 mb,-58.9 C,-68.4 C,28.2 %,198.6 deg,7.3 m/s,-54.389100 deg,19.670700 deg,13186.2 m
20190919N1,Jerry,2019-09-19,18:59:04,D20190919_185904.8,8_dup,190930049_8_dup,CFL,,,Drop #8,8,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190430T155321Z,RSS421 NEO-M8Q-0,403.70 MHz,5.9 v,2.09,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:59:03,177.3 mb,-58.9 C,-68.4 C,28.2 %,198.6 deg,7.3 m/s,-54.389100 deg,19.670700 deg,13186.2 m
20190919N1,TS Jerry,2019-09-19,19:14:42,D20190919_191442.1,9,185130637,NGU,,,Drop #9,1,N49RF,Gulfstream G-IV SP,Good Drop,Point #8,3,A2,20190430T180639Z,RSS421 NEO-M8Q-0,404.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:14:41,169.1 mb,-61.7 C,-70.1 C,31.4 %,239.2 deg,18.4 m/s,-53.928500 deg,21.516000 deg,13474.4 m
20190919N1,Jerry,2019-09-19,19:14:42,D20190919_191442.5,9_dup,185130637_5_dup,CFL,,,Drop #9,5,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190430T180639Z,RSS421 NEO-M8Q-0,404.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:14:41,169.1 mb,-61.7 C,-70.1 C,31.4 %,239.2 deg,18.4 m/s,-53.928500 deg,21.516000 deg,13474.4 m
20190919N1,TS Jerry,2019-09-19,19:25:40,D20190919_192540.2,10,185130653,NGU,,,Drop #10,2,N49RF,Gulfstream G-IV SP,Good Drop,Point #9,3,A2,20190430T194113Z,RSS421 NEO-M8Q-0,405.70 MHz,6.0 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:25:40,169.1 mb,-61.3 C,-70.8 C,27.1 %,266.4 deg,14.5 m/s,-55.249300 deg,21.694000 deg,13473.2 m
20190919N1,Jerry,2019-09-19,19:25:40,D20190919_192540.6,10_dup,185130653_6_dup,CFL,,,Drop #10,6,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190430T194113Z,RSS421 NEO-M8Q-0,405.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:25:40,169.1 mb,-61.3 C,-70.8 C,27.1 %,266.4 deg,14.5 m/s,-55.249300 deg,21.694000 deg,13473.2 m
20190919N1,TS Jerry,2019-09-19,19:38:56,D20190919_193856.3,11,185110407,NGU,,,Drop #11,3,N49RF,Gulfstream G-IV SP,Good Drop,Point #10,3,A2,20190514T190233Z,RSS421 NEO-M8Q-0,400.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:38:55,169.2 mb,-61.7 C,-71.7 C,25.2 %,240.2 deg,6.7 m/s,-55.900600 deg,20.278400 deg,13483.8 m
20190919N1,Jerry,2019-09-19,19:38:56,D20190919_193856.7,11_dup,185110407_7_dup,CFL,,,Drop #11,7,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190514T190233Z,RSS421 NEO-M8Q-0,400.70 MHz,5.9 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:38:55,169.2 mb,-61.7 C,-71.7 C,25.2 %,240.2 deg,6.7 m/s,-55.900600 deg,20.278400 deg,13483.8 m
20190919N1,TS Jerry,2019-09-19,19:49:05,D20190919_194905.4,12,185140375,NGU,,,Drop #12,4,N49RF,Gulfstream G-IV SP,Good Drop,Point #11,3,A2,20190429T193432Z,RSS421 NEO-M8Q-0,401.70 MHz,5.8 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:49:04,169.0 mb,-61.2 C,-71.4 C,24.9 %,307.1 deg,3.8 m/s,-57.193900 deg,20.199200 deg,13489.3 m
20190919N1,Jerry,2019-09-19,19:49:05,D20190919_194905.8,12_dup,185140375_8_dup,CFL,,,Drop #12,8,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190429T193432Z,RSS421 NEO-M8Q-0,401.70 MHz,5.6 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:49:04,169.0 mb,-61.2 C,-71.4 C,24.9 %,307.1 deg,3.8 m/s,-57.193900 deg,20.199200 deg,13489.3 m
20190919N1,TS Jerry,2019-09-19,19:57:42,D20190919_195742.1,13,185120851,NGU,,,Drop #13,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190429T181406Z,RSS421 NEO-M8Q-0,402.70 MHz,5.8 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:57:41,169.0 mb,-61.8 C,-71.6 C,25.9 %,10.1 deg,13.7 m/s,-58.194600 deg,19.837900 deg,13482.2 m
20190919N1,Jerry,2019-09-19,19:57:42,D20190919_195742.5,13_dup,185120851_5_dup,CFL,,,Drop #13,5,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190429T181406Z,RSS421 NEO-M8Q-0,402.70 MHz,5.7 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:57:41,169.0 mb,-61.8 C,-71.6 C,25.9 %,10.1 deg,13.7 m/s,-58.194600 deg,19.837900 deg,13482.2 m
20190919N1,TS Jerry,2019-09-19,20:18:17,D20190919_201817.2,14,185120824,Jason,,,Drop #14,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190429T191945Z,RSS421 NEO-M8Q-0,403.70 MHz,5.8 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:18:16,161.4 mb,-62.8 C,-71.9 C,28.4 %,281.0 deg,7.9 m/s,-57.008200 deg,22.022400 deg,13765.5 m
20190919N1,Jerry,2019-09-19,20:18:17,D20190919_201817.6,14_dup,185120824_6_dup,CFL,,,Drop #14,6,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20190429T191945Z,RSS421 NEO-M8Q-0,403.70 MHz,5.7 v,2.09,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:18:16,161.4 mb,-62.8 C,-71.9 C,28.4 %,281.0 deg,7.9 m/s,-57.008200 deg,22.022400 deg,13765.5 m
