flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20210708I1,SITES TEST FLIGHT 03,2021-07-08,15:01:49,D20210708_150149.1,1,202311648,none,,,Drop 1,1,N43RF,WP-3D,Good Drop,,3,A2,20201006T182342Z,RSS421 NEO-M8Q-0-10,400.50 MHz,5.8 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),15:01:48,726.8 mb,11.0 C,1.7 C,52.6 %,206.4 deg,13.2 m/s,-76.995800 deg,30.797800 deg,2893.7 m
20210708I1,SITES TEST FLIGHT 03,2021-07-08,16:43:03,D20210708_164303.2,2,203150614,JGW,,,Drop 2,2,N43RF,WP-3D,Good Drop,,3,A2,20201013T190050Z,RSS421 NEO-M8Q-0-10,401.50 MHz,5.8 v,2.10,32768 sec,-0.6 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),16:43:02,569.9 mb,-0.5 C,-4.0 C,77.7 %,214.6 deg,10.4 m/s,-76.851000 deg,30.916400 deg,4868.9 m
20210708I1,SITES TEST FLIGHT 03,2021-07-08,17:14:21,D20210708_171421.3,3,202260252,JGW,,,Drop 3,3,N43RF,WP-3D,Good Drop,,3,A2,20201006T151848Z,RSS421 NEO-M8Q-0-10,402.50 MHz,5.8 v,2.10,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),17:14:20,694.9 mb,8.9 C,3.5 C,69.2 %,219.7 deg,18.6 m/s,-77.362500 deg,31.694800 deg,3258.7 m
20210708I1,SITES TEST FLIGHT 03,2021-07-08,17:17:10,D20210708_171710.4,4,203240114,JGW,,,Drop 4,4,N43RF,WP-3D,Good Drop,,3,A2,20201009T182327Z,RSS421 NEO-M8Q-0-10,403.50 MHz,5.8 v,2.10,32768 sec,-0.6 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),17:17:09,694.9 mb,8.8 C,3.3 C,68.1 %,210.8 deg,11.2 m/s,-77.321000 deg,31.526700 deg,3259.1 m
20210708I1,SITES TEST FLIGHT 03,2021-07-08,17:24:11,D20210708_172411.5,5,203440039,JGW,,,Drop 5,5,N43RF,WP-3D,Good Drop,,3,A2,20201009T170404Z,RSS421 NEO-M8Q-0-10,404.50 MHz,5.9 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),17:24:10,712.1 mb,9.5 C,6.5 C,81.9 %,214.0 deg,18.9 m/s,-77.264600 deg,31.706600 deg,3055.4 m
20210708I1,SITES TEST FLIGHT 03,2021-07-08,17:43:32,D20210708_174332.6,6,203240109,JGW,,,Drop 6,6,N43RF,WP-3D,Good Drop,,3,A2,20201009T184536Z,RSS421 NEO-M8Q-0-10,405.50 MHz,5.9 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),17:43:32,750.6 mb,11.5 C,9.2 C,85.9 %,210.2 deg,21.4 m/s,-76.929200 deg,32.089300 deg,2623.7 m
20210708I1,SITES TEST FLIGHT 03,2021-07-08,17:51:31,D20210708_175131.7,7,202260255,JGW,,,Drop 7,7,N43RF,WP-3D,Good Drop,,3,A2,20201006T142729Z,RSS421 NEO-M8Q-0-10,400.50 MHz,5.9 v,2.10,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),17:51:29,810.6 mb,16.4 C,10.4 C,67.6 %,226.6 deg,15.9 m/s,-77.045200 deg,31.828000 deg,1974.6 m
